Name,Price
AGRITECH,Final
BALRAMCHIN,608.25
DBOL,349.35
STCINDIA,119.90
RANASUG,120.00
AUTOAXLES,20.05
DHANUKA,"1,799.50"
AIROLAM,987.40
NAVNETEDUL,151.40
BFUTILITIE,131.75
ATULAUTO,703.00
NATCOPHARM,481.00
REPL,938.00
TVTODAY,175.80
NAVA,207.20
DCBBANK,447.00
UNIDT,114.85
ITDC,221.00
HAL,590.10
NFL,"3,053.95"
COALINDIA,85.00
BBTC,419.00
SHANKARA,"1,551.00"
CHENNPETRO,635.70
BOSCHLTD,780.95
CENTUM,"28,429.95"
PNBGILTS,"1,439.95"
BHARTIARTL,100.85
ZYDUSWELL,"1,173.95"
RUCHINFRA,"1,510.00"
ANGELONE,11.40
NEOGEN,"2,445.90"
SYNOPTICS,"1,247.00"
DVL,117.00
JCHAC,333.35
KRSNAA,998.45
GRMOVER,563.05
SHRIPISTON,116.70
LAXMIMACH,"1,449.60"
ENGINERSIN,"13,777.00"
CAPITALSFB,187.45
KELLTONTEC,339.95
NIACL,95.50
SHAKTIPUMP,218.50
BIRLACABLE,"1,165.00"
YATRA,220.45
PALREDTEC,138.10
KIRLOSIND,125.45
ESAFSFB,"3,849.00"
IKIO,56.15
DOLLAR,280.80
SBIN,464.90
VRLLOG,749.90
TREL,529.45
MOLDTECH,43.00
MUNJALSHOW,186.95
GSFC,146.00
SIYSIL,190.00
SAIL,455.00
ATMASTCO,119.10
ASAL,134.00
YASHO,545.00
GALAXYSURF,"1,530.00"
ERIS,"2,355.00"
CIGNITITEC,833.95
ABB,"1,095.80"
CHOICEIN,"5,614.90"
NCLIND,246.80
FSL,182.50
UTIAMC,182.60
SHALBY,813.95
TIMKEN,216.50
JSWHL,"2,581.80"
VADILALIND,"6,300.00"
ARIHANTCAP,"3,214.65"
DLINKINDIA,51.35
RAINBOW,258.50
DPWIRES,"1,107.55"
ENDURANCE,422.00
DCXINDIA,"1,731.20"
BTML,247.45
VGUARD,162.50
NESTLEIND,306.95
APOLLOTYRE,"2,590.00"
BAIDFIN,493.35
ZYDUSLIFE,19.85
SUDARSCHEM,970.95
RTNINDIA,551.00
DEEPAKFERT,65.55
HINDPETRO,461.00
AVADHSUGAR,485.00
WHIRLPOOL,562.10
KITEX,"1,262.40"
IBULHSGFIN,181.30
NECCLTD,160.35
CANTABIL,23.05
ADANIENSOL,185.00
AMRUTANJAN,950.00
BSHSL,604.95
PRSMJOHNSN,189.00
TATVA,165.40
BHINVIT,"1,209.95"
INTELLECT,103.50
CUB,"1,132.00"
MEDPLUS,127.05
ASTEC,666.55
TEGA,"1,054.35"
NOVAAGRI,"1,160.00"
NSLNISP,51.95
HINDOILEXP,52.00
INFY,159.45
ANDHRAPAP,"1,614.40"
HEIDELBERG,495.00
AARTIDRUGS,193.50
VENKEYS,452.55
RHIM,"1,609.00"
KRITI,513.65
GEOJITFSL,123.40
EIDPARRY,62.20
HCLTECH,554.95
MANYAVAR,"1,634.00"
CAMLINFINE,910.20
DHANI,102.40
UCAL,34.20
ARIES,138.20
NUVAMA,242.00
TRIDENT,"3,814.85"
GANDHAR,35.60
AWL,215.05
PRECWIRE,333.00
RENUKA,114.45
ASTRAZEN,40.00
FINOPB,"5,099.80"
THEJO,282.60
GUJALKALI,"2,120.00"
CGPOWER,707.70
TITAN,462.00
MANINFRA,"3,629.95"
HDFCBANK,171.10
UJJIVANSFB,"1,462.10"
ORIENTCER,44.90
SPAL,45.05
ASALCBR,556.60
TCS,465.35
NURECA,"4,153.45"
ZEEL,286.00
MARUTI,145.40
JINDALSTEL,"11,401.75"
KANORICHEM,764.95
TRU,103.00
ROUTE,52.00
FIEMIND,"1,570.95"
JKCEMENT,"1,016.95"
PDMJEPAPER,"4,090.00"
KICL,55.50
DYCL,"3,611.00"
DALBHARAT,349.95
JUBLFOOD,"1,827.00"
ARVINDFASN,431.35
STEL,426.45
AEGISCHEM,285.00
TTML,362.95
RUSTOMJEE,74.25
PGEL,596.00
INGERRAND,"1,490.70"
GMDCLTD,"3,460.00"
ACL,324.00
TCNSBRANDS,83.45
RSWM,334.15
GRSE,169.70
HLEGLAS,686.20
KINGFA,445.65
PAGEIND,"1,529.90"
KECL,"34,049.95"
DATAMATICS,99.70
WORTH,504.00
TATATECH,102.00
NAZARA,"1,037.95"
SEQUENT,631.00
KOKUYOCMLN,114.50
SANOFI,116.00
SPANDANA,"8,031.95"
DMCC,840.05
MARKSANS,257.00
GRASIM,133.00
ADANIPORTS,"2,149.90"
JTEKTINDIA,"1,210.00"
CYBERTECH,140.00
AMBIKCO,143.15
JYOTICNC,"1,449.95"
GLAXO,582.00
MRF,"1,926.95"
LICI,"1,39,100.00"
INDIAGLYCO,910.00
GICHSGFIN,760.00
MUTHOOTMF,197.20
ORIENTCEM,199.50
OPTIEMUS,202.00
CENTURYTEX,263.85
SIEMENS,"1,344.80"
BSE,"4,650.95"
SUMICHEM,"2,012.00"
ATUL,339.40
GRAVITA,"5,995.95"
GOKEX,741.00
STYLAMIND,716.00
GARFIBRES,"1,476.80"
CELLO,"3,221.15"
SUNTV,723.40
GABRIEL,585.75
FMGOETZE,277.75
KALAMANDIR,322.80
SUPREMEIND,177.40
FAIRCHEMOR,"3,719.20"
NRL,"1,193.25"
TNPETRO,97.25
MANGLMCEM,79.55
SURYAROSNI,652.35
LUMAXTECH,477.70
SPECIALITY,415.70
EDELWEISS,172.75
VERANDA,65.30
MAHSCOOTER,180.00
FIVESTAR,"6,876.70"
BEPL,609.90
KREBSBIO,82.40
ALLCARGO,64.45
LATENTVIEW,69.10
HONAUT,443.55
RADIOCITY,"36,442.60"
MGEL,16.20
SHALPAINTS,17.95
CERA,157.00
VETO,"7,026.30"
IDFC,110.40
THEINVEST,108.90
GHCLTEXTIL,122.00
RVNL,72.75
SUVIDHAA,222.60
GANDHITUBE,5.40
MARICO,683.90
